Genre,Lead Studio,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year,Film
Romance,The Weinstein Company,70,1.747541667,64,41.94,2008,Zack and Miri Make a Porno
Comedy,The Weinstein Company,52,1.09,68,19.62,2010,Youth in Revolt
Comedy,Independent,35,1.211818182,43,26.66,2010,You Will Meet a Tall Dark Stranger
Comedy,Disney,44,0,15,43.04,2010,When in Rome
Comedy,Fox,72,6.267647029,28,219.37,2008,What Happens in Vegas
Drama,20th Century Fox,72,3.081421053,60,117.09,2011,Water For Elephants
Animation,Disney,89,2.896019067,96,521.28,2008,WALL-E
Romance,Independent,67,11.0897415,89,22.18,2007,Waitress
Romance,Independent,53,0.005,6,0.03,2011,Waiting For Forever
Comedy,Warner Bros.,54,4.184038462,17,217.57,2010,Valentine's Day
Romance,Independent,47,3.7241924,46,55.86,2007,Tyler Perry's Why Did I get Married
Romance,Independent,68,6.383363636,26,702.17,2011,Twilight: Breaking Dawn
Romance,Summit,82,10.18002703,49,376.66,2008,Twilight
Comedy,Independent,68,5.402631579,14,205.30,2009,The Ugly Truth
Drama,Summit,78,14.1964,27,709.82,2009,The Twilight Saga: New Moon
Drama,Paramount,65,2.598205128,38,101.33,2009,The Time Traveler's Wife
Comedy,Disney,74,7.8675,43,314.70,2009,The Proposal
Comedy,Warner Bros.,47,1.751351351,56,32.40,2009,The Invention of Lying
Comedy,Paramount,41,2.129444167,30,127.77,2007,The Heartbreak Kid
Drama,Paramount,68,3.207850222,60,43.31,2008,The Duchess
Fantasy,Warner Bros.,81,1.78394375,73,285.43,2008,The Curious Case of Benjamin Button
Comedy,CBS,47,2.202571429,20,77.09,2010,The Back-up Plan
Animation,Disney,88,1.365692308,89,355.01,2010,Tangled
Romance,Independent,48,1.719514286,15,60.18,2011,Something Borrowed
Comedy,Paramount,60,2.4405,57,48.81,2010,She's Out of My League
Comedy,Warner Bros.,49,2.8835,15,288.35,2010,Sex and the City Two
Comedy,Warner Bros.,49,2.8835,15,288.35,2010,Sex and the City 2
Comedy,Warner Bros.,81,7.221795791,49,415.25,2008,Sex and the City
Drama,Summit,70,3.49125,28,55.86,2010,Remember Me
Drama,Independent,61,1.384166667,85,16.61,2008,Rachel Getting Married
Comedy,Summit,74,1.382799733,52,20.74,2008,Penelope
Romance,Independent,82,5.103116833,21,153.09,2007,P.S. I Love You
Comedy,New Line,47,2.071,15,20.71,2008,Over Her Dead Body
Comedy,Independent,49,0,14,21.37,2010,Our Family Wedding
Romance,Independent,54,3.682733333,37,55.24,2011,One Day
Drama,Independent,66,2.14,34,10.70,2009,Not Easily Broken
Comedy,Warner Bros.,64,3.307180357,39,92.60,2007,No Reservations
Comedy,Sony,67,3.3527293,73,33.53,2008,Nick and Norah's Infinite Playlist
Romance,Warner Bros.,48,2.536428571,8,142.04,2011,New Year's Eve
Drama,The Weinstein Company,84,0.8258,83,8.26,2011,My Week with Marilyn
Romance,Warner Bros.,70,3.64741055,63,145.90,2007,Music and Lyrics
Romance,20th Century Fox,50,1.9832,38,39.66,2011,Monte Carlo
Comedy,Independent,70,0.2528949,78,15.17,2008,Miss Pettigrew Lives for a Day
Romence,Sony,84,8.744705882,93,148.66,2011,Midnight in Paris
Comedy,Fox,77,3.746781818,63,206.07,2008,Marley and Me
Comedy,Universal,76,9.234453864,53,609.47,2008,Mamma Mia!
Comedy,Universal,76,9.234453864,53,609.47,2008,Mamma Mia!
Comdy,Sony,61,2.64906835,13,105.96,2008,Made of Honor
Drama,Universal,40,2.004444444,18,36.08,2009,Love Happens
Comedy,Fox,55,1.817666667,48,54.53,2010,Love & Other Drugs
Comedy,Independent,62,2.530526316,28,96.16,2010,Life as We Know It
Comedy,Warner Bros.,55,1.9802064,8,69.31,2007,License to Wed
Comedy,Summit,62,2.639333333,40,79.18,2010,Letters to Juliet
Comedy,Universal,49,1.715263158,21,32.59,2010,Leap Year
Comedy,Universal,83,6.636401848,91,219,2007,Knocked Up
Action,Lionsgate,45,1.245333333,11,93.40,2010,Killers
Comedy,Fox,58,1.797416667,45,21.57,2010,Just Wright
Romance,Universal,77,0,85,30.15,2011,Jane Eyre
Comedy,Universal,63,2.642352941,56,224.60,2009,It's Complicated
Comedy,Independent,57,1.34,71,20.10,2010,I Love You Phillip Morris
Comedy,Disney,76,22.91313646,65,252.04,2008,High School Musical 3: Senior Year
Comedy,Warner Bros.,60,7.1536,42,178.84,2009,He's Just Not That Into You
Comedy,Lionsgate,61,2.36768512,3,59.19,2007,Good Luck Chuck
Comedy,Warner Bros.,56,1.3140625,53,42.05,2010,Going the Distance
Animation,Disney,52,5.387972222,56,193.97,2011,Gnomeo and Juliet
Animation,Disney,52,5.387972222,56,193.97,2011,Gnomeo and Juliet
Comedy,Warner Bros.,47,2.0444,27,102.22,2009,Ghosts of Girlfriends Past
Comedy,Warner Bros.,52,2.022925,26,161.83,2008,Four Christmases
Drama,Independent,51,66.934,40,33.47,2008,Fireproof
Comedy,Disney,80,4.005737082,93,340.49,2007,Enchanted
Drama,Sony,66,4.5988,29,114.97,2010,Dear John
Comedy,Independent,80,4.471875,84,14.31,2011,Beginners
romance,Independent,84,0.652603178,54,29.37,2007,Across the Universe
Drama,Universal,64,4.382857143,89,30.68,2009,A Serious Man
Drama,Independent,89,0.44864475,79,8.97,2011,A Dangerous Method
Comedy,Fox,71,5.3436218,40,160.31,2008,27 Dresses
comedy,Fox,81,8.096,87,60.72,2009,(500) Days of Summer
